date,close,high,low,open,volume,ret,vol20,vol60,css_7d_exp,css_norm,pos_state,weight,turnover,cost,weight_applied,cost_applied,strat_ret,equity
2023-01-03,82.0999984741211,87.0199966430664,81.7699966430664,86.04000091552734,27559,-0.04434879554857574,0.026239097220281712,0.02231744276607707,-1.0616847341896771,-1.2013836401906253,-1,-0.38111067297964896,0.0256420617280132,5.12841234560264e-06,-0.40675273470766216,6.541936793661585e-06,0.018032451933580513,1.0556466677601262
2023-01-04,77.83999633789062,82.66999816894531,77.72000122070312,82.2300033569336,24772,-0.05188796851894306,0.027606760481613223,0.022620294232031723,-1.8687119452966008,-2.0102588140551454,-1,-0.36223011412948086,0.018880558850168094,3.776111770033619e-06,-0.38111067297964896,5.12841234560264e-06,0.019769930189455626,1.0765167286864754
2023-01-05,78.69000244140625,79.95999908447266,77.61000061035156,78.08999633789062,28051,0.010919914484911919,0.026341925911446937,0.022619227987322365,-1.358279865323513,-1.4051314666706136,-1,-0.37962296430476555,0.01739285017528469,3.4785700350569383e-06,-0.36223011412948086,3.776111770033619e-06,-0.003959297981923849,1.0722544781750798
2023-01-06,78.56999969482422,80.56999969482422,78.05000305175781,78.80999755859375,23767,-0.0015250062632974348,0.02558850575547864,0.022515495793643897,-1.1508662758677168,-1.1402811456567417,-1,-0.39080046703621785,0.011177502731452293,2.2355005462904587e-06,-0.37962296430476555,3.4785700350569383e-06,0.0005754488282212491,1.0728715057581006
2023-01-09,79.6500015258789,81.37000274658203,78.33999633789062,78.4800033569336,29985,0.013745727825500209,0.02550206778283929,0.02250612997487138,-0.7038336747461185,-0.665511537992549,-1,-0.39212506551053655,0.0013245984743187056,2.649196948637411e-07,-0.39080046703621785,2.2355005462904587e-06,-0.005374072354504508,1.0671058166590703
2023-01-10,80.0999984741211,80.87999725341797,78.80999755859375,79.70999908447266,21541,0.00564967909129277,0.02549913523166487,0.022291882932091486,-0.6253876764644536,-0.5806008775880379,-1,-0.3921701622093436,4.5096698807034485e-05,9.019339761406898e-09,-0.39212506551053655,2.649196948637411e-07,-0.00221564570348155,1.0647414882412296
2023-01-11,82.66999816894531,82.97000122070312,79.30000305175781,79.58999633789062,29995,0.03208489068391862,0.025857491497204864,0.022409029242729583,-0.4576190859540772,-0.3955479076445119,-1,-0.38673511701941304,0.005435045189930543,1.0870090379861085e-06,-0.3921701622093436,9.019339761406898e-09,-0.012582745803321183,1.0513441167484403
2023-01-12,84.02999877929688,84.61000061035156,82.37999725341797,82.86000061035156,29360,0.01645095730584445,0.025054227942973753,0.022525669177720933,-0.3292805919115305,-0.2626086518643565,-1,-0.3991342308675856,0.01239911384817255,2.47982276963451e-06,-0.38673511701941304,1.0870090379861085e-06,-0.006363249907795107,1.0446541513944798
2023-01-13,85.27999877929688,85.48999786376953,83.48999786376953,83.94999694824219,17857,0.014875639868603407,0.024689415837058536,0.022517989246839204,0.1640061097452279,0.23495332377634703,0,0.0,0.3991342308675856,7.982684617351712e-05,-0.3991342308675856,2.47982276963451e-06,-0.005939856900387847,1.0384490552248005
2023-01-17,85.91999816894531,86.81999969482422,83.86000061035156,85.44000244140625,36658,0.007504683381911681,0.024286190628739122,0.02226751313708227,-0.2200532499782004,-0.16831786825312578,0,0.0,0.0,0.0,0.0,7.982684617351712e-05,-7.982684617351712e-05,1.03836615911181
2023-01-18,84.9800033569336,87.83999633789062,84.4000015258789,86.72000122070312,26461,-0.010940349534963922,0.02354905067951756,0.02230387228798927,-0.2403769323946151,-0.20481500323280613,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.03836615911181
2023-01-19,86.16000366210938,86.8499984741211,83.73999786376953,84.58999633789062,28822,0.013885623188546248,0.023619076668170504,0.022322468081545657,-0.2890085413614621,-0.2679574571581882,0,0.0,0.0,0.0,0.0,0.0,0.0,1.03836615911181
2023-01-20,87.62999725341797,87.7699966430664,85.58000183105469,86.36000061035156,24374,0.017061206230601034,0.023781108767008084,0.022442250630647174,0.109065061806813,0.13424877068262658,0,0.0,0.0,0.0,0.0,0.0,0.0,1.03836615911181
2023-01-23,88.19000244140625,89.0999984741211,86.93000030517578,87.80999755859375,21194,0.006390564938268728,0.02320781624238136,0.022456543929500455,1.7186698027807266,1.8114347330508098,0,0.0,0.0,0.0,0.0,0.0,0.0,1.03836615911181
2023-01-24,86.12999725341797,88.70999908447266,85.80999755859375,88.02999877929688,26572,-0.02335871562490266,0.02362034402401319,0.022420743040204253,0.8670293258202928,0.8596396090079341,1,0.42336385913065805,0.42336385913065805,8.467277182613162e-05,0.0,0.0,-0.0,1.03836615911181
2023-01-25,86.12000274658203,87.01000213623047,85.41000366210938,86.30000305175781,19993,-0.0001160397904870214,0.022382369962809,0.0223390840353628,0.3261861166459757,0.2802727053916349,1,0.44678021213196834,0.023416353001310286,4.683270600262057e-06,0.42336385913065805,8.467277182613162e-05,-0.00013379982533943003,1.0382272259010825
2023-01-26,87.47000122070312,88.01000213623047,85.77999877929688,86.12999725341797,14187,0.015675782989622356,0.022585452282114702,0.022405550277699166,-0.6018554676429115,-0.6802587158582188,1,0.44276288449264073,0.004017327639327606,8.034655278655212e-07,0.44678021213196834,4.683270600262057e-06,0.006998946378837915,1.045493722584214
2023-01-27,86.66000366210938,88.91000366210938,85.68000030517578,87.5999984741211,10012,-0.009260289782664799,0.02248546031361182,0.02240213088405222,0.1366601881610087,0.0928864201609885,1,0.44473183383959414,0.001968949346953408,3.9378986939068165e-07,0.44276288449264073,8.034655278655212e-07,-0.004100916080938261,1.0412062405647484
2023-01-30,84.9000015258789,87.37000274658203,84.75,86.80000305175781,5879,-0.020309278350515436,0.02281904039591216,0.02253462504678079,-1.9061242507017488,-1.991055543393271,1,0.43823052269066565,0.00650131114892849,1.3002622297856982e-06,0.44473183383959414,3.9378986939068165e-07,-0.009032576394652887,1.031801465654258
2023-01-31,84.48999786376953,85.16000366210938,83.69000244140625,85.16000366210938,30498,-0.004829253883869455,0.020650699738894253,0.022422275573572403,-1.6784939480576098,-1.6688039149420617,1,0.4842450922457436,0.04601456955507793,9.202913911015587e-06,0.43823052269066565,1.3002622297856982e-06,-0.0021176267159638243,1.029616495305018
2023-02-01,82.83999633789062,86.19999694824219,82.37000274658203,85.5199966430664,28085,-0.01952895688954026,0.018632494030566483,0.022468931667478004,-1.4493902422867069,-1.378170052868588,1,0.536696804174206,0.052451711928462375,1.0490342385692475e-05,0.4842450922457436,9.202913911015587e-06,-0.00946600444434959,1.019870140984485
2023-02-02,82.16999816894531,83.5999984741211,81.23999786376953,83.08999633789062,24611,-0.008087858505117507,0.014432299264480076,0.021765765589566787,-1.2660435094049314,-1.1520705614407774,1,0.6928902884248951,0.15619348425068913,3.123869685013783e-05,0.536696804174206,1.0490342385692475e-05,-0.00435121815469543,1.0154324635116017
2023-02-03,79.94000244140625,84.19000244140625,79.62000274658203,82.1500015258789,24743,-0.027138807073526894,0.01569219659954253,0.02198341949576708,-0.7989770536671554,-0.6694172475255418,1,0.6372594134011504,0.05563087502374464,1.112617500474893e-05,0.6928902884248951,3.123869685013783e-05,-0.01883545455753377,0.9963063314888844
2023-02-06,80.98999786376953,81.4000015258789,79.08999633789062,79.75,31365,0.013134793473804196,0.015902243935404972,0.02187299695860142,0.3915314623709122,0.4959405364997879,1,0.6288420703782479,0.008417343022902535,1.6834686045805071e-06,0.6372594134011504,1.112617500474893e-05,0.008359144609256972,1.0046346001889184
2023-02-07,83.69000244140625,84.0999984741211,81.18000030517578,81.4000015258789,24432,0.03333750646812339,0.017170384822571567,0.022080157288468023,0.6727373700965327,0.7800939861295065,1,0.5823981292984396,0.046443941079808315,9.288788215961664e-06,0.6288420703782479,1.6834686045805071e-06,0.020962343120058364,1.025694095388361
2023-02-08,85.08999633789062,85.16000366210938,83.5,84.02999877929688,29853,0.01672832901952126,0.0174357117262687,0.02214598052763246,0.1340189543289637,0.26362118956131325,1,0.5735355204877566,0.008862608810683015,1.772521762136603e-06,0.5823981292984396,9.288788215961664e-06,0.00973325873904202,1.0356774414058836
2023-02-09,84.5,85.5,83.05999755859375,85.06999969482422,30520,-0.006933792023538943,0.016233606603857514,0.021893193350499447,-0.7914002947518874,-0.6250610615588121,1,0.6160060573122271,0.04247053682447055,8.49410736489411e-06,0.5735355204877566,1.772521762136603e-06,-0.003978548538936399,1.0315569484345688
2023-02-10,86.38999938964844,86.91000366210938,83.94000244140625,84.2300033569336,30882,0.02236685668222993,0.01655894532576748,0.021805296261993012,0.3173360923441793,0.512113018446766,1,0.6039031957209821,0.012102861591245073,2.420572318249015e-06,0.6160060573122271,8.49410736489411e-06,0.013769625091923206,1.0457611008754812
2023-02-13,86.61000061035156,86.94999694824219,85.08999633789062,86.5999984741211,19426,0.002546605188765483,0.016277476806301774,0.021780732344820974,1.3069280784288426,1.5671307815645954,1,0.6143458300692237,0.010442634348241664,2.088526869648333e-06,0.6039031957209821,2.420572318249015e-06,0.0015354824394168609,1.047366848681701
2023-02-14,85.58000183105469,86.4000015258789,84.12000274658203,85.75,19585,-0.011892377000789156,0.016432567143581534,0.021790358539419522,0.2274771666211721,0.44396937123073477,1,0.6085476427769195,0.005798187292304191,1.1596374584608382e-06,0.6143458300692237,2.088526869648333e-06,-0.007308120746915608,1.0397125652852186
2023-02-15,85.37999725341797,85.8499984741211,83.9000015258789,85.29000091552734,21161,-0.0023370480644713254,0.01625383993166146,0.021388404369531377,0.2167809657631615,0.47558215036027873,1,0.615239232208792,0.0066915894318724245,1.338317886374485e-06,0.6085476427769195,1.1596374584608382e-06,-0.0014233647281488482,1.0382326750923785
2023-02-16,85.13999938964844,86.19999694824219,84.5999984741211,85.13999938964844,20089,-0.0028109378249004946,0.01596424914012677,0.0211719975865172,0.4731298982392176,0.7798783001256561,1,0.6263996453716452,0.011160413162853211,2.232082632570642e-06,0.615239232208792,1.338317886374485e-06,-0.0017307375470648066,1.0364357668190065
2023-02-17,83.0,84.8499984741211,81.79000091552734,84.66999816894531,27191,-0.02513506465808857,0.016293100596985036,0.021409688161149174,0.6784315828640486,1.060045457888407,1,0.6137567211639542,0.012642924207690975,2.528584841538195e-06,0.6263996453716452,2.232082632570642e-06,-0.01574682767085262,1.0201151914069995
2023-02-21,83.05000305175781,84.29000091552734,82.54000091552734,83.01000213623047,31936,0.0006024464067206914,0.016182256759402543,0.02136211964182273,0.371328881066498,0.7334187942833198,1,0.6179607794314348,0.004204058267480604,8.408116534961208e-07,0.6137567211639542,2.528584841538195e-06,0.0003672269464243593,1.020489805193741
2023-02-22,80.5999984741211,83.2300033569336,80.4000015258789,82.73999786376953,20309,-0.029500355058504235,0.016620535695763425,0.02126892923951259,0.2644194597716301,0.6039249458443009,0,0.0,0.6179607794314348,0.00012359215588628696,0.6179607794314348,8.408116534961208e-07,-0.018230903217110843,1.0018853543212056
2023-02-23,82.20999908447266,82.75,80.33999633789062,80.47000122070312,14474,0.01997519405497883,0.017365498646915882,0.021267838848344472,0.6586755226827119,1.0330318744458638,0,0.0,0.0,0.0,0.0,0.00012359215588628696,-0.00012359215588628696,1.0017615291503141
2023-02-24,83.16000366210938,83.37999725341797,81.06999969482422,82.3499984741211,13365,0.01155582761484486,0.017175986109536332,0.021308202825369556,0.5224437651282899,0.8501812366542559,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0017615291503141
2023-02-27,82.44999694824219,83.62999725341797,81.73999786376953,83.12000274658203,5691,-0.008537838896112149,0.017162223686009878,0.021336107930229803,0.4327100811944891,0.7241490093447891,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0017615291503141
