date,close,high,low,open,volume,ret,vol20,vol60,oil_sent_1d,oil_sent_3d,oil_sent_7d,oil_news_count_7d,S_raw,S_intensity,Z,pos_state,weight,turnover,cost,weight_applied,cost_applied,strat_ret,equity
2023-01-03,82.0999984741211,87.0199966430664,81.7699966430664,86.04000091552734,27559,-0.04434879554857574,0.026239097220281712,0.02231744276607707,-1.0616847341896771,-1.0616847341896771,-1.0616847341896771,50.0,-1.0616847341896771,-4.174359251759085,-1.1446288637378137,0,0.0,0.20337636735383108,4.067527347076622e-05,0.20337636735383108,3.2709683968307926e-06,-0.009022767903583919,0.8130566435787762
2023-01-04,77.83999633789062,82.66999816894531,77.72000122070312,82.2300033569336,24772,-0.05188796851894306,0.027606760481613223,0.022620294232031723,-1.8687119452966008,-1.8687119452966008,-1.8687119452966008,49.0,-1.8687119452966008,-7.310444120518685,-1.9258100970293197,-1,-0.18111505706474043,0.18111505706474043,3.622301141294809e-05,0.0,4.067527347076622e-05,-4.067527347076622e-05,0.8130235722774514
2023-01-05,78.69000244140625,79.95999908447266,77.61000061035156,78.08999633789062,28051,0.010919914484911919,0.026341925911446937,0.022619227987322365,-1.358279865323513,-1.358279865323513,-1.358279865323513,38.0,-1.358279865323513,-4.976142019309364,-1.2502919562886847,-1,-0.18981148215238278,0.008696425087642345,1.7392850175284691e-06,-0.18111505706474043,3.622301141294809e-05,-0.0020139839464898557,0.8113861558547667
2023-01-06,78.56999969482422,80.56999969482422,78.05000305175781,78.80999755859375,23767,-0.0015250062632974348,0.02558850575547864,0.022515495793643897,-1.1508662758677168,-1.1508662758677168,-1.1508662758677168,27.0,-1.1508662758677168,-3.8349217950549463,-0.9334884203491487,-1,-0.19540023351810892,0.005588751365726147,1.1177502731452294e-06,-0.18981148215238278,1.7392850175284691e-06,0.00028772441411062453,0.8116196114610775
2023-01-09,79.6500015258789,81.37000274658203,78.33999633789062,78.4800033569336,29985,0.013745727825500209,0.02550206778283929,0.02250612997487138,-0.7038336747461185,-0.7038336747461185,-0.7038336747461185,23.0,-0.7038336747461185,-2.236821305954772,-0.505401800822614,-1,-0.19606253275526828,0.0006622992371593528,1.3245984743187056e-07,-0.19540023351810892,1.1177502731452294e-06,-0.002687036177252254,0.8094387602029142
2023-01-10,80.0999984741211,80.87999725341797,78.80999755859375,79.70999908447266,21541,0.00564967909129277,0.02549913523166487,0.022291882932091486,-0.6253876764644536,-0.6253876764644536,-0.6253876764644536,31.0,-0.6253876764644536,-2.167428523491356,-0.47470625264063737,-1,-0.1960850811046718,2.2548349403517243e-05,4.509669880703449e-09,-0.19606253275526828,1.3245984743187056e-07,-0.001107822851740775,0.8085420454472766
2023-01-11,82.66999816894531,82.97000122070312,79.30000305175781,79.58999633789062,29995,0.03208489068391862,0.025857491497204864,0.022409029242729583,-0.4576190859540772,-0.4576190859540772,-0.4576190859540772,41.0,-0.4576190859540772,-1.7104289543171596,-0.35080295182638543,-1,-0.19336755850970652,0.0027175225949652715,5.435045189930543e-07,-0.1960850811046718,4.509669880703449e-09,-0.006291372901660592,0.8034552059326964
2023-01-12,84.02999877929688,84.61000061035156,82.37999725341797,82.86000061035156,29360,0.01645095730584445,0.025054227942973753,0.022525669177720933,-0.3292805919115305,-0.3292805919115305,-0.3292805919115305,49.0,-0.3292805919115305,-1.2881532507989042,-0.24393523570891254,-1,-0.1995671154337928,0.006199556924086275,1.239911384817255e-06,-0.19336755850970652,5.435045189930543e-07,-0.0031816249538975535,0.800898912800162
2023-01-13,85.27999877929688,85.48999786376953,83.48999786376953,83.94999694824219,17857,0.014875639868603407,0.024689415837058536,0.022517989246839204,0.1640061097452279,0.1640061097452279,0.1640061097452279,60.0,0.1640061097452279,0.6742084301163972,0.2671637575579697,0,0.0,0.1995671154337928,3.991342308675856e-05,-0.1995671154337928,1.239911384817255e-06,-0.0029699284501939235,0.7985203003333075
2023-01-17,85.91999816894531,86.81999969482422,83.86000061035156,85.44000244140625,36658,0.007504683381911681,0.024286190628739122,0.02226751313708227,-0.2200532499782004,-0.2200532499782004,-0.2200532499782004,58.0,-0.2200532499782004,-0.8972753664392575,-0.16730432270920703,0,0.0,0.0,0.0,0.0,3.991342308675856e-05,-3.991342308675856e-05,0.7984884286547169
2023-01-18,84.9800033569336,87.83999633789062,84.4000015258789,86.72000122070312,26461,-0.010940349534963922,0.02354905067951756,0.02230387228798927,-0.2403769323946151,-0.2403769323946151,-0.2403769323946151,54.0,-0.2403769323946151,-0.9632704581493233,-0.19865725294498662,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.7984884286547169
2023-01-19,86.16000366210938,86.8499984741211,83.73999786376953,84.58999633789062,28822,0.013885623188546248,0.023619076668170504,0.022322468081545657,-0.2890085413614621,-0.2890085413614621,-0.2890085413614621,53.0,-0.2890085413614621,-1.1528504608116836,-0.26558044877017783,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7984884286547169
2023-01-20,87.62999725341797,87.7699966430664,85.58000183105469,86.36000061035156,24374,0.017061206230601034,0.023781108767008084,0.022442250630647174,0.109065061806813,0.109065061806813,0.109065061806813,47.0,0.109065061806813,0.4222127775212661,0.14574077170328859,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7984884286547169
2023-01-23,88.19000244140625,89.0999984741211,86.93000030517578,87.80999755859375,21194,0.006390564938268728,0.02320781624238136,0.022456543929500455,1.7186698027807266,1.7186698027807266,1.7186698027807266,42.0,1.7186698027807266,6.4642610610579005,1.7308028777190712,1,0.21544465656657358,0.21544465656657358,4.308893131331472e-05,0.0,0.0,0.0,0.7984884286547169
2023-01-24,86.12999725341797,88.70999908447266,85.80999755859375,88.02999877929688,26572,-0.02335871562490266,0.02362034402401319,0.022420743040204253,0.8670293258202928,0.8670293258202928,0.8670293258202928,37.0,0.8670293258202928,3.153893875680796,0.8166247363331988,1,0.21168192956532902,0.0037627270012445535,7.525454002489107e-07,0.21544465656657358,4.308893131331472e-05,-0.0050755993969567245,0.7944356212677601
2023-01-25,86.12000274658203,87.01000213623047,85.41000366210938,86.30000305175781,19993,-0.0001160397904870214,0.022382369962809,0.0223390840353628,0.3261861166459757,0.3261861166459757,0.3261861166459757,31.0,0.3261861166459757,1.1304749354547774,0.26419908554508326,1,0.22339010606598417,0.011708176500655143,2.3416353001310287e-06,0.21168192956532902,7.525454002489107e-07,-2.531607215689811e-05,0.7944155092782481
2023-01-26,87.47000122070312,88.01000213623047,85.77999877929688,86.12999725341797,14187,0.015675782989622356,0.022585452282114702,0.022405550277699166,-0.6018554676429115,-0.6018554676429115,-0.6018554676429115,22.0,-0.6018554676429115,-1.8871143376196826,-0.5269461519178021,0,0.0,0.22339010606598417,4.4678021213196836e-05,0.22339010606598417,2.3416353001310287e-06,0.0034994731894189574,0.7971955450542259
2023-01-27,86.66000366210938,88.91000366210938,85.68000030517578,87.5999984741211,10012,-0.009260289782664799,0.02248546031361182,0.02240213088405222,0.1366601881610087,0.1366601881610087,0.1366601881610087,15.0,0.1366601881610087,0.3789024964743792,0.0808958815219601,0,0.0,0.0,0.0,0.0,4.4678021213196836e-05,-4.4678021213196836e-05,0.7971599279347529
2023-01-30,84.9000015258789,87.37000274658203,84.75,86.80000305175781,5879,-0.020309278350515436,0.02281904039591216,0.02253462504678079,-1.9061242507017488,-1.9061242507017488,-1.9061242507017488,34.0,-1.9061242507017488,-6.7769351596904235,-1.7525128745325258,-1,-0.21911526134533282,0.21911526134533282,4.382305226906657e-05,0.0,0.0,-0.0,0.7971599279347529
2023-01-31,84.48999786376953,85.16000366210938,83.69000244140625,85.16000366210938,30498,-0.004829253883869455,0.020650699738894253,0.022422275573572403,-1.6784939480576098,-1.6784939480576098,-1.6784939480576098,47.0,-1.6784939480576098,-6.497787468523396,-1.611906167762716,-1,-0.2421225461228718,0.023007284777538967,4.6014569555077934e-06,-0.21911526134533282,4.382305226906657e-05,0.0010143401745979527,0.7979685192752367
