date,close,high,low,open,volume,ret,vol20,vol60,oil_sent_1d,oil_sent_3d,oil_sent_7d,oil_news_count_7d,S_raw,S_intensity,Z,pos_state,weight,turnover,cost,weight_applied,cost_applied,strat_ret,equity
2023-01-03,76.93000030517578,81.5,76.5999984741211,80.56999969482422,338520,-0.04149017869950289,0.023680901795249447,0.024095618521483755,-1.0616847341896771,-1.0616847341896771,-1.0616847341896771,50.0,-1.0616847341896771,-4.174359251759085,-1.1446288637378137,0,0.0,0.22610702602011168,4.522140520402234e-05,0.22610702602011168,1.2430963825474762e-06,-0.009382464011170131,0.9047148728289132
2023-01-04,72.83999633789062,77.41999816894531,72.7300033569336,77.25,352434,-0.05316526648980113,0.02502676870181878,0.024097468882523575,-1.8687119452966008,-1.8687119452966008,-1.8687119452966008,49.0,-1.8687119452966008,-7.310444120518685,-1.9258100970293197,-1,-0.19978607944047658,0.19978607944047658,3.9957215888095314e-05,0.0,4.522140520402234e-05,-4.522140520402234e-05,0.9046739603510549
2023-01-05,73.66999816894531,74.91999816894531,72.45999908447266,73.25,300731,0.01139486371202536,0.024040792625723787,0.024117092787971996,-1.358279865323513,-1.358279865323513,-1.358279865323513,38.0,-1.358279865323513,-4.976142019309364,-1.2502919562886847,-1,-0.20797983152393948,0.008193752083462902,1.6387504166925805e-06,-0.19978607944047658,3.9957215888095314e-05,-0.0023164923626721977,0.9025782900311933
2023-01-06,73.7699966430664,75.47000122070312,73.23999786376953,73.97000122070312,258128,0.0013573839637102125,0.023029939291609732,0.024030099058807288,-1.1508662758677168,-1.1508662758677168,-1.1508662758677168,27.0,-1.1508662758677168,-3.8349217950549463,-0.9334884203491487,-1,-0.21710869215454684,0.00912886063060736,1.8257721261214722e-06,-0.20797983152393948,1.6387504166925805e-06,-0.00028394723850243975,0.9023220054182066
2023-01-09,74.62999725341797,76.73999786376953,73.47000122070312,73.47000122070312,329290,0.011657864301019893,0.02303211653823015,0.023952348516128853,-0.7038336747461185,-0.7038336747461185,-0.7038336747461185,23.0,-0.7038336747461185,-2.236821305954772,-0.505401800822614,-1,-0.21708816867527944,2.052347926739806e-05,4.104695853479612e-09,-0.21710869215454684,1.8257721261214722e-06,-0.0025328494438357305,0.9000365596286224
2023-01-10,75.12000274658203,75.91999816894531,73.83999633789062,74.86000061035156,307430,0.0065657980865276855,0.022961458553903694,0.023787499829123194,-0.6253876764644536,-0.6253876764644536,-0.6253876764644536,31.0,-0.6253876764644536,-2.167428523491356,-0.47470625264063737,-1,-0.21775620169172338,0.0006680330164439419,1.3360660328878837e-07,-0.21708816867527944,4.104695853479612e-09,-0.0014253611871918026,0.8987536824494741
2023-01-11,77.41000366210938,77.83999633789062,74.30999755859375,74.77999877929688,350891,0.030484569113404802,0.022974019967429996,0.023668935344300774,-0.4576190859540772,-0.4576190859540772,-0.4576190859540772,41.0,-0.4576190859540772,-1.7104289543171596,-0.35080295182638543,-1,-0.21763713999937506,0.0001190616923483212,2.3812338469664242e-08,-0.21775620169172338,1.3360660328878837e-07,-0.006638337586947146,0.8927874520978626
2023-01-12,78.38999938964844,79.16000366210938,77.0999984741211,77.69999694824219,307705,0.01265980727525462,0.022236661148418962,0.023737125915547733,-0.3292805919115305,-0.3292805919115305,-0.3292805919115305,49.0,-0.3292805919115305,-1.2881532507989042,-0.24393523570891254,-1,-0.2248539008004582,0.007216760801083133,1.4433521602166267e-06,-0.21763713999937506,2.3812338469664242e-08,-0.002755268060668166,0.890327583346132
2023-01-13,79.86000061035156,80.11000061035156,77.97000122070312,78.31999969482422,283539,0.018752407604907262,0.0219526629383801,0.023550671182392513,0.1640061097452279,0.1640061097452279,0.1640061097452279,60.0,0.1640061097452279,0.6742084301163972,0.2671637575579697,0,0.0,0.2248539008004582,4.4970780160091645e-05,-0.2248539008004582,1.4433521602166267e-06,-0.004217995351523791,0.8865721857382447
2023-01-17,80.18000030517578,81.2300033569336,78.52999877929688,80.0999984741211,312275,0.004007008419465663,0.02160397364503736,0.023156921812066675,-0.2200532499782004,-0.2200532499782004,-0.2200532499782004,58.0,-0.2200532499782004,-0.8972753664392575,-0.16730432270920703,0,0.0,0.0,0.0,0.0,4.4970780160091645e-05,-4.4970780160091645e-05,0.8865323158953838
2023-01-18,79.4800033569336,82.37999725341797,78.94000244140625,80.97000122070312,92549,-0.008730318602867326,0.02090589780113078,0.02316609827623505,-0.2403769323946151,-0.2403769323946151,-0.2403769323946151,54.0,-0.2403769323946151,-0.9632704581493233,-0.19865725294498662,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8865323158953838
2023-01-19,80.33000183105469,81.18000030517578,78.12999725341797,79.13999938964844,58863,0.010694494693261003,0.02087926314491007,0.023178466328489238,-0.2890085413614621,-0.2890085413614621,-0.2890085413614621,53.0,-0.2890085413614621,-1.1528504608116836,-0.26558044877017783,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8865323158953838
2023-01-20,81.30999755859375,81.63999938964844,79.69000244140625,80.5999984741211,300145,0.012199622870669558,0.020883970280075048,0.023227742222712577,0.109065061806813,0.109065061806813,0.109065061806813,47.0,0.109065061806813,0.4222127775212661,0.14574077170328859,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8865323158953838
2023-01-23,81.62000274658203,82.63999938964844,81.05000305175781,81.79000091552734,297076,0.0038126330992063195,0.02005964724895373,0.023203970952411362,1.7186698027807266,1.7186698027807266,1.7186698027807266,42.0,1.7186698027807266,6.4642610610579005,1.7308028777190712,1,0.2492566263975948,0.2492566263975948,4.9851325279518965e-05,0.0,0.0,0.0,0.8865323158953838
2023-01-24,80.12999725341797,82.22000122070312,79.66000366210938,81.62000274658203,288207,-0.018255396263466284,0.02038405981224181,0.022960954080642575,0.8670293258202928,0.8670293258202928,0.8670293258202928,37.0,0.8670293258202928,3.153893875680796,0.8166247363331988,1,0.245289704114644,0.0039669222829507855,7.933844565901571e-07,0.2492566263975948,4.9851325279518965e-05,-0.004600129811462382,0.8824541521602087
2023-01-25,80.1500015258789,81.2300033569336,79.44999694824219,80.26000213623047,297234,0.0002496477367603944,0.019572358277105593,0.02288341094134015,0.3261861166459757,0.3261861166459757,0.3261861166459757,31.0,0.3261861166459757,1.1304749354547774,0.26419908554508326,1,0.2554623172746975,0.010172613160053467,2.0345226320106935e-06,0.245289704114644,7.933844565901571e-07,6.044263502625753e-05,0.8825074900144553
2023-01-26,81.01000213623047,82.13999938964844,79.91999816894531,80.4800033569336,291060,0.010729888883082461,0.019694964088945197,0.022884069308376873,-0.6018554676429115,-0.6018554676429115,-0.6018554676429115,22.0,-0.6018554676429115,-1.8871143376196826,-0.5269461519178021,0,0.0,0.2554623172746975,5.1092463454939497e-05,0.2554623172746975,2.0345226320106935e-06,0.0027390477555402503,0.8849247201742269
2023-01-27,79.68000030517578,82.4800033569336,79.04000091552734,81.22000122070312,367588,-0.016417748376528762,0.019990548804505442,0.022893093525726847,0.1366601881610087,0.1366601881610087,0.1366601881610087,15.0,0.1366601881610087,0.3789024964743792,0.0808958815219601,0,0.0,0.0,0.0,0.0,5.1092463454939497e-05,-5.1092463454939497e-05,0.884879507190301
2023-01-30,77.9000015258789,80.48999786376953,77.66000366210938,80.04000091552734,327426,-0.022339342024089492,0.020554316166170306,0.022863363147978336,-1.9061242507017488,-1.9061242507017488,-1.9061242507017488,34.0,-1.9061242507017488,-6.7769351596904235,-1.7525128745325258,-1,-0.24325791038620592,0.24325791038620592,4.865158207724119e-05,0.0,0.0,-0.0,0.884879507190301
2023-01-31,78.87000274658203,79.25,76.55000305175781,77.91000366210938,312734,0.012451876786945704,0.020041290044329446,0.022787501265244356,-1.6784939480576098,-1.6784939480576098,-1.6784939480576098,47.0,-1.6784939480576098,-6.497787468523396,-1.611906167762716,-1,-0.24948493779295,0.006227027406744079,1.2454054813488158e-06,-0.24325791038620592,4.865158207724119e-05,-0.003077669109656157,0.8821561408652536
2023-02-01,76.41000366210938,79.7300033569336,76.05000305175781,79.05999755859375,360859,-0.031190554061179654,0.019095757443395537,0.02297520380914781,-1.4493902422867069,-1.4493902422867069,-1.4493902422867069,57.0,-1.4493902422867069,-5.88516647884724,-1.4006370545759101,-1,-0.2618382651131391,0.012353327320189122,2.4706654640378247e-06,-0.24948493779295,1.2454054813488158e-06,0.007780328034199702,0.889019605018569
2023-02-02,75.87999725341797,77.23999786376953,74.97000122070312,76.79000091552734,339755,-0.0069363484267731534,0.014869285101907792,0.02194177538444776,-1.2660435094049314,-1.2660435094049314,-1.2660435094049314,64.0,-1.2660435094049314,-5.284955908793942,-1.2070112128359223,-1,-0.3362636445351686,0.07442537942202948,1.4885075884405897e-05,-0.2618382651131391,2.4706654640378247e-06,0.0018137307728224965,0.8906320472338337
2023-02-03,73.38999938964844,78.0,73.0999984741211,75.91999816894531,413414,-0.03281494404188812,0.016525619879025847,0.022259119204031255,-0.7989770536671554,-0.7989770536671554,-0.7989770536671554,67.0,-0.7989770536671554,-3.371289834207466,-0.7012274172545032,-1,-0.3025605112910742,0.03370313324409441,6.740626648818882e-06,-0.3362636445351686,1.4885075884405897e-05,0.011019587602858509,0.9004464451002402
2023-02-06,74.11000061035156,74.51000213623047,72.25,73.2300033569336,380028,0.009810617613994488,0.016663811918616305,0.022021814913120993,0.3915314623709122,0.3915314623709122,0.3915314623709122,61.0,0.3915314623709122,1.61590296117798,0.5691285809750303,0,0.0,0.3025605112910742,6.051210225821484e-05,-0.3025605112910742,6.740626648818882e-06,-0.00297504610802021,0.897767575408264
2023-02-07,77.13999938964844,77.5999984741211,74.3499984741211,74.56999969482422,408279,0.04088515388399072,0.018741701149847866,0.02232145532932568,0.6727373700965327,0.6727373700965327,0.6727373700965327,62.0,0.6727373700965327,2.787241559788257,0.8706779946804812,1,0.26678474702071464,0.26678474702071464,5.335694940414293e-05,0.0,6.051210225821484e-05,-6.051210225821484e-05,0.8977132496049368
2023-02-08,78.47000122070312,78.56999969482422,77.08000183105469,77.48999786376953,353468,0.017241403183536397,0.019018927713909037,0.0224220084421008,0.1340189543289637,0.1340189543289637,0.1340189543289637,60.0,0.1340189543289637,0.5509350166547736,0.3148610815507225,1,0.2628959989339131,0.0038887480868015634,7.777496173603128e-07,0.26678474702071464,5.335694940414293e-05,0.004546386437197758,0.9017946009474334
2023-02-09,78.05999755859375,78.83999633789062,76.5199966430664,78.44999694824219,324156,-0.005224973311217407,0.017940891101817114,0.0220797048081997,-0.7914002947518874,-0.7914002947518874,-0.7914002947518874,53.0,-0.7914002947518874,-3.1568831502115438,-0.6099475821039342,0,0.0,0.2628959989339131,5.2579199786782616e-05,0.2628959989339131,7.777496173603128e-07,-0.001374402327672896,0.9005551723488083
2023-02-10,79.72000122070312,80.33000183105469,77.47000122070312,77.68000030517578,356062,0.021265740635763253,0.018324572916038354,0.02185577627241747,0.3173360923441793,0.3173360923441793,0.3173360923441793,51.0,0.3173360923441793,1.2538722415541144,0.5792227173176213,0,0.0,0.0,0.0,0.0,5.2579199786782616e-05,-5.2579199786782616e-05,0.9005078218784824
2023-02-13,80.13999938964844,80.62000274658203,78.44999694824219,79.94000244140625,301299,0.005268416489138783,0.017902565909926664,0.021803687946791123,1.3069280784288426,1.3069280784288426,1.3069280784288426,55.0,1.3069280784288426,5.2608451501727815,1.6229859035666192,1,0.27928957363746315,0.27928957363746315,5.5857914727492635e-05,0.0,0.0,0.0,0.9005078218784824
2023-02-14,79.05999755859375,79.61000061035156,77.45999908447266,79.05999755859375,299938,-0.013476439222361525,0.018127379858746104,0.021785138836882538,0.2274771666211721,0.2274771666211721,0.2274771666211721,50.0,0.2274771666211721,0.8944005545806268,0.5043262047766649,1,0.2758258523273345,0.0034637213101286757,6.927442620257352e-07,0.27928957363746315,5.5857914727492635e-05,-0.0038196868792920286,0.8970681639665534
2023-02-15,78.58999633789062,79.1500015258789,77.25,78.83000183105469,264486,-0.005944867634922413,0.018074532943624096,0.020992524576501248,0.2167809657631615,0.2167809657631615,0.2167809657631615,44.0,0.21678096576316153,0.8252119708668109,0.5099605302408242,1,0.2766323210450526,0.0008064687177181118,1.6129374354362237e-07,0.2758258523273345,6.927442620257352e-07,-0.0016404409266376854,0.8955965766363989
2023-02-16,78.48999786376953,79.54000091552734,77.91999816894531,78.54000091552734,117600,-0.001272407160971989,0.01789455000408862,0.020851490866625414,0.4731298982392176,0.4731298982392176,0.4731298982392176,41.0,0.4731298982392176,1.7684032461502253,0.8118345293599806,1,0.27941468206004505,0.0027823610149924627,5.564722029984925e-07,0.2766323210450526,1.6129374354362237e-07,-0.0003521502399975708,0.8952811920869954
2023-02-17,76.33999633789062,78.25,75.05999755859375,78.06999969482422,93267,-0.02739204464765732,0.018504593450438957,0.0211361271130292,0.6784315828640486,0.6784315828640486,0.6784315828640486,54.0,0.6784315828640486,2.718701395920895,1.094644566125932,1,0.2702031802747546,0.009211501785290455,1.842300357058091e-06,0.27941468206004505,5.564722029984925e-07,-0.007654295918402727,0.8884284449125812
2023-02-21,76.16000366210938,77.51000213623047,75.69000244140625,76.52999877929688,402351,-0.002357776845895776,0.018440138583915102,0.021036771772732,0.371328881066498,0.371328881066498,0.371328881066498,54.0,0.371328881066498,1.4880385477330187,0.7325738493970485,1,0.27114763683833604,0.0009444565635814417,1.8889131271628834e-07,0.2702031802747546,1.842300357058091e-06,-0.0006389211024962767,0.8878608092310686
2023-02-22,73.94999694824219,76.55000305175781,73.80000305175781,76.11000061035156,332018,-0.029017943902314935,0.019017140435157016,0.020826277652236012,0.2644194597716301,0.2644194597716301,0.2644194597716301,54.0,0.2644194597716301,1.0596168759640958,0.5985789682779336,1,0.2629207065619862,0.008226930276349853,1.6453860552699707e-06,0.27114763683833604,1.8889131271628834e-07,-0.007868335806332814,0.8808748222347561
2023-02-23,75.38999938964844,75.98999786376953,73.83000183105469,73.91999816894531,333838,0.01947265045073787,0.019673206163073623,0.020806845965531784,0.6586755226827119,0.6586755226827119,0.6586755226827119,51.0,0.6586755226827119,2.602587521583404,1.005939595312894,1,0.25415277807564185,0.008767928486344334,1.7535856972688668e-06,0.2629207065619862,1.6453860552699707e-06,0.00511811762908731,0.885383243191455
2023-02-24,76.31999969482422,76.62999725341797,74.08999633789062,75.5999984741211,329254,0.01233585770931156,0.019731713620267786,0.02080436110068507,0.5224437651282899,0.5224437651282899,0.5224437651282899,39.0,0.5224437651282899,1.9272320711116757,0.789880303529125,1,0.25339917739654194,0.0007536006790999084,1.5072013581998168e-07,0.25415277807564185,1.7535856972688668e-06,0.0031334389210700875,0.8881575375057342
2023-02-27,75.68000030517578,76.81999969482422,74.98999786376953,76.41999816894531,266091,-0.008385736271063426,0.019530826909556948,0.020768028106763634,0.4327100811944891,0.4327100811944891,0.4327100811944891,41.0,0.43271008119448917,1.6173273240055717,0.6809383859306172,1,0.25600554565118633,0.0026063682546443867,5.212736509288774e-07,0.25339917739654194,1.5072013581998168e-07,-0.0021250893930876372,0.88627012334339
2023-02-28,77.05000305175781,77.83000183105469,75.55000305175781,75.76000213623047,300093,0.01810257321693398,0.019453193365058533,0.02053170142726014,0.2023401374212612,0.2023401374212612,0.2023401374212612,42.0,0.2023401374212612,0.761041748278299,0.42511607619939795,1,0.25702720916664035,0.0010216635154540188,2.0433270309080377e-07,0.25600554565118633,5.212736509288774e-07,0.004633837860440806,0.8903769553955162
2023-03-01,77.69000244140625,77.8499984741211,76.12000274658203,76.8499984741211,342121,0.008306286363396032,0.019337326696263646,0.020531618861943032,0.3076606860280157,0.3076606860280157,0.3076606860280157,50.0,0.3076606860280157,1.209668171506503,0.5338569663723983,1,0.258567281741488,0.001540072574847673,3.080145149695346e-07,0.25702720916664035,2.0433270309080377e-07,0.0021347372698195134,0.8922776762663874
