date,sentiment_score,article_count
2017-02-19,0.14544627070426935,2
2017-02-20,0.7590632736682892,4
2017-02-21,0.31018560462527806,9
2017-02-22,-0.12732458710670472,10
2017-02-23,0.4270562082529068,8
2017-02-24,-0.10039875904719035,6
2017-02-25,0.9936479926109314,1
2017-02-26,0.011553019285202063,6
2017-02-27,0.1622663321702377,23
2017-02-28,0.1205678598748313,36
2017-03-01,-0.1223303936421871,8
2017-03-02,0.2079136610031128,5
2017-03-03,0.12968904276688892,12
2017-03-04,0.11463099718093872,2
2017-03-05,0.03046008944511419,2
2017-03-06,0.13156061172485348,10
2017-03-07,-0.508197029431661,15
2017-03-08,-0.10964330434799194,5
2017-03-09,-0.2933370471000671,3
2017-03-10,-0.9957985281944276,1
2017-03-11,-0.29126236836115516,3
2017-03-12,0.9901533722877502,1
2017-03-13,0.3296289642651876,3
2017-03-14,-0.5196595106806073,7
2017-03-15,-0.9881983041763306,5
2017-03-16,0.2044408440589905,5
2017-03-17,0.5612016677856445,5
2017-03-18,0.5074635744094849,1
2017-03-19,0.9189781546592712,1
2017-03-20,0.5689964890480042,1
2017-03-21,0.19249709447224927,3
2017-03-22,-0.550134878892165,13
2017-03-23,-0.4664573445916176,8
2017-03-24,0.1771279031580145,11
2017-03-25,0.028588604927063034,5
2017-03-26,-0.05812201897303263,3
2017-03-27,0.030107494443655035,16
2017-03-28,0.12982046954772053,17
2017-03-29,0.019806170463562044,10
2017-03-30,0.05874792337417603,15
2017-03-31,0.20951594246758357,9
2017-04-01,0.994450569152832,1
2017-04-02,0.943632423877716,1
2017-04-03,-0.29321836100684273,9
2017-04-04,-0.03660930286754261,11
2017-04-05,0.30186606943607325,8
2017-04-06,-0.21351740035143765,11
2017-04-07,0.2806386517153846,9
2017-04-09,-0.9933027923107147,2
2017-04-10,0.9867773652076722,2
2017-04-11,0.9833613634109497,6
2017-04-12,-0.35219616691271466,6
2017-04-13,0.14390355348587036,5
2017-04-14,0.9916719794273376,1
2017-04-15,-0.8132328391075134,1
2017-04-16,0.0,1
2017-04-17,0.1635175347328186,5
2017-04-18,0.3382566443511418,14
2017-04-19,-0.4642850041389465,15
2017-04-20,0.3130871132016182,8
2017-04-21,-0.29906932512919115,9
2017-04-22,-0.9608567357063293,2
2017-04-23,0.07169556617736816,2
2017-04-24,-0.09947741627693173,10
2017-04-25,0.1461411531154926,13
2017-04-26,-0.18860583504041037,12
2017-04-27,0.2167382687330246,8
2017-04-28,-0.5333539485931397,5
2017-04-29,0.7167565226554871,5
2017-04-30,0.936447024345398,3
2017-05-01,-0.501563623547554,4
2017-05-02,-0.6141102910041809,6
2017-05-03,0.0017423331737518866,2
2017-05-04,-0.9534459114074707,2
2017-05-05,0.16033458709716794,5
2017-05-06,-0.9959068298339844,1
2017-05-08,-0.13663272559642792,10
2017-05-09,0.2061860286272489,13
2017-05-10,-0.09586419378008161,7
2017-05-11,0.24559946358203888,8
2017-05-12,-0.1677823712428411,6
2017-05-14,0.889980673789978,1
2017-05-15,0.652522494395574,12
2017-05-16,0.21607478260993956,10
2017-05-17,-0.34292821373258325,7
2017-05-18,0.6456837483814785,7
2017-05-19,0.42643673717975616,8
2017-05-20,0.1950383186340332,2
2017-05-22,-0.47510308027267456,4
2017-05-23,0.006629846990108462,8
2017-05-24,0.18972772757212322,15
2017-05-25,0.20018893082936604,15
2017-05-26,-0.6261363710675921,7
2017-05-28,-0.8181933760643005,1
2017-05-29,0.07541155815124512,4
2017-05-30,0.08105451327103835,13
2017-05-31,0.4307386875152588,10
2017-06-01,-0.23768837111336844,7
2017-06-02,-0.17482762932777404,10
2017-06-03,0.7587619721889496,2
2017-06-04,0.322510023911794,3
2017-06-05,-0.1194246858358383,8
2017-06-06,-0.24284300208091736,8
2017-06-07,-0.46967682739098865,12
2017-06-08,0.35369786620140076,6
2017-06-09,-0.9920037090778351,2
2017-06-10,0.8909337520599365,2
2017-06-11,0.024122655391693226,2
