date,sentiment_score,article_count,css_7d_exp
2017-02-19,0.1454462707042693,2,
2017-02-20,0.7590632736682892,4,
2017-02-21,0.310185604625278,9,
2017-02-22,-0.1273245871067047,10,
2017-02-23,0.4270562082529068,8,
2017-02-24,-0.1003987590471903,6,
2017-02-25,0.9936479926109314,1,1.7530773361841532
2017-02-26,0.011553019285202,6,1.4777503257890068
2017-02-27,0.1622663321702377,23,1.1640516580145028
2017-02-28,0.1205678598748313,36,1.0155476094861868
2017-03-01,-0.1223303936421871,8,0.8048654831177156
2017-03-02,0.2079136610031128,5,0.7485285613487387
2017-03-03,0.1296890427668889,12,0.8155065493044952
2017-03-04,0.1146309971809387,2,0.4560329336317025
2017-03-05,0.0304600894451141,2,0.42153484289019527
2017-03-06,0.1315606117248534,10,0.437285403401302
2017-03-07,-0.508197029431661,15,-0.17347841425371907
2017-03-08,-0.1096433043479919,5,-0.2150250708968775
2017-03-09,-0.2933370471000671,3,-0.55622469037452
2017-03-10,-0.9957985281944276,1,-1.525687352154629
2017-03-11,-0.2912623683611551,3,-1.6560174030562242
2017-03-12,0.9901533722877502,1,-0.4566171567064805
2017-03-13,0.3296289642651876,3,-0.11460080185193777
2017-03-14,-0.5196595106806073,7,-0.43204917390739556
2017-03-15,-0.9881983041763306,5,-1.3223966671102447
2017-03-16,0.2044408440589905,5,-0.834002932400125
2017-03-17,0.5612016677856445,5,0.20455676343264229
2017-03-18,0.5074635744094849,1,0.7919387491806411
2017-03-19,0.9189781546592712,1,1.2412352850085346
2017-03-20,0.5689964890480042,1,1.523732206844222
2017-03-21,0.1924970944722492,3,1.704558920111685
2017-03-22,-0.550134878892165,13,1.2910474176816455
2017-03-23,-0.4664573445916176,8,0.5775135458611036
2017-03-24,0.1771279031580145,11,0.47130707694190366
2017-03-25,0.028588604927063,5,0.25046887775523374
2017-03-26,-0.0581220189730326,3,-0.1790692542566066
2017-03-27,0.030107494443655,16,-0.33444579501563587
2017-03-28,0.1298204695477205,17,-0.23091892235729097
2017-03-29,0.019806170463562,10,0.02201097185366701
2017-03-30,0.058747923374176,15,0.24942881568482245
2017-03-31,0.2095159424675835,9,0.3605785563159778
2017-04-01,0.994450569152832,1,1.2965109907425405
2017-04-02,0.943632423877716,1,2.0889310443951916
2017-04-03,-0.2932183610068427,9,1.5065538672504106
2017-04-04,-0.0366093028675426,11,1.2216306676451776
2017-04-05,0.3018660694360732,8,1.3535844139528557
2017-04-06,-0.2135174003514376,11,0.9382628603297195
2017-04-07,0.2806386517153846,9,1.0169213816601272
2017-04-09,-0.9933027923107148,2,-0.47759404041869746
2017-04-10,0.9867773652076722,2,0.22561867774892075
2017-04-11,0.9833613634109496,6,1.2868142157107503
2017-04-12,-0.3521961669127146,6,0.7767824476518858
2017-04-13,0.1439035534858703,5,0.7062287693363798
2017-04-14,0.9916719794273376,1,1.6824347536544804
2017-04-15,-0.8132328391075134,1,0.5419914762430338
2017-04-16,0.0,1,0.8352561087573607
2017-04-17,0.1635175347328186,5,0.5245674903726819
2017-04-18,0.3382566443511418,14,0.4312341798414282
2017-04-19,-0.4642850041389465,15,0.03910810504905621
2017-04-20,0.3130871132016182,8,0.29404990633078687
2017-04-21,-0.2990693251291911,9,-0.40897969352452807
2017-04-22,-0.9608567357063292,2,-1.0162205510762075
2017-04-23,0.0716955661773681,2,-0.8092435708225468
2017-04-24,-0.0994774162769317,10,-0.8611475226371598
2017-04-25,0.1461411531154926,13,-0.7248062679797057
2017-04-26,-0.1886058350404103,12,-0.6461234624855086
2017-04-27,0.2167382687330246,8,-0.4585501936483196
2017-04-28,-0.5333539485931397,5,-0.820839521192987
2017-04-29,0.7167565226554871,5,0.35866832146922656
2017-04-30,0.936447024345398,3,1.2209933407477636
2017-05-01,-0.501563623547554,4,0.5934842155979618
2017-05-02,-0.6141102910041809,6,-0.15339426639201348
2017-05-03,0.0017423331737518,2,-0.06184755711353726
2017-05-04,-0.9534459114074708,2,-1.0867937450047043
2017-05-05,0.1603345870971679,5,-0.5855729394791183
2017-05-06,-0.9959068298339844,1,-1.7672070587706696
2017-05-08,-0.1366327255964279,10,-2.0130850771300866
2017-05-09,0.2061860286272489,13,-1.3543979895111151
2017-05-10,-0.0958641937800816,7,-1.0440433276810959
2017-05-11,0.2455994635820388,8,-0.6600995921206346
2017-05-12,-0.1677823712428411,6,-0.3892549702105514
2017-05-14,0.889980673789978,1,0.49356034444477564
2017-05-15,0.652522494395574,12,1.4467526972059863
2017-05-16,0.2160747826099395,10,1.5204970929599204
2017-05-17,-0.3429282137325832,7,0.8993055118000178
2017-05-18,0.6456837483814785,7,1.4605382877206075
2017-05-19,0.4264367371797561,8,1.602194107129156
2017-05-20,0.1950383186340332,2,1.6456686661855096
2017-05-22,-0.4751030802726745,4,0.6240851238276619
2017-05-23,0.0066298469901084,8,0.30758583780912463
2017-05-24,0.1897277275721232,15,0.3768776223672117
2017-05-25,0.200188930829366,15,0.6530520521997603
2017-05-26,-0.6261363710675921,7,-0.2975537561571784
2017-05-28,-0.8181933760643005,1,-1.233013459833275
2017-05-29,0.0754115581512451,4,-1.065211147938835
